pid,age,l
1,2,161
1,2,173
1,2,203
1,2,147
1,2,140
1,2,146
1,2,144
1,2,145
1,2,200
1,3,313
1,3,249
1,3,305
1,3,309
1,3,254
1,3,250
1,3,242
1,3,268
1,3,256
1,3,329
1,4,320
1,4,327
1,4,323
1,4,369
1,4,304
1,4,368
1,4,357
1,4,315
1,4,340
1,4,348
1,5,358
1,5,472
1,5,370
1,5,344
1,5,354
1,5,357
1,5,353
1,5,323
1,5,371
1,5,384
1,5,399
1,6,374
1,6,460
1,6,422
1,6,380
1,6,423
1,6,396
1,6,420
1,7,450
1,7,438
1,7,452
1,7,414
1,7,470
1,7,462
1,8,464
1,8,465
1,8,464
1,9,484
1,10,470
1,10,477
1,10,508
1,14,521
2,2,194
2,2,209
2,2,192
2,2,260
2,2,182
2,2,244
2,2,170
2,2,193
2,2,163
2,2,208
2,3,253
2,3,323
2,3,202
2,3,212
2,3,282
2,3,232
2,3,204
2,3,266
2,3,274
2,4,270
2,4,294
2,4,217
2,4,248
2,4,300
2,4,253
2,4,294
2,4,202
2,5,300
2,5,315
2,5,301
2,5,303
2,5,251
2,5,269
2,5,241
2,5,275
2,5,311
2,5,262
2,5,305
2,6,293
2,6,278
2,6,247
2,6,345
2,6,288
2,6,241
2,6,339
2,6,315
2,6,339
2,6,298
2,6,279
2,6,285
2,6,330
2,7,302
2,7,298
2,7,283
2,7,301
2,7,363
2,7,325
2,7,292
2,7,251
2,7,325
2,7,276
2,8,270
2,8,338
2,8,262
2,8,333
2,8,282
2,8,290
2,9,309
2,9,310
2,9,312
2,10,288
2,10,280
2,10,285
2,11,298
2,13,275
2,15,263
3,2,147
3,2,162
3,2,190
3,2,185
3,2,184
3,2,153
3,2,210
3,2,201
3,2,150
3,2,181
3,2,218
3,2,160
3,3,236
3,3,329
3,3,276
3,3,253
3,3,271
3,3,245
3,3,226
3,3,320
3,3,274
3,3,278
3,3,311
3,3,309
3,3,297
3,4,326
3,4,305
3,4,333
3,4,357
3,4,338
3,4,357
3,4,337
3,4,348
3,5,345
3,5,352
3,5,422
3,5,377
3,5,405
3,5,322
3,5,410
3,6,479
